userName,score,at,content
Hasan aan,1,2025-03-08 16:32:12,"Apa²an ini,,,sudah update,,sudah clear cache,,bahkan clear data.,, masih aja kalau buka aplikasi shopee langsung ke shopee vidio dan live,,bukannya ke beranda..,, sangat menggangu sekali.. Aplikasi bangke².,,"
Adul Game,1,2025-03-08 13:00:27,"Aplikasi ini semakin jelek,nyari produk lambat,ngelag,Dan bnyak penipuan nya sperti voucher,diskon besar²an,Hadiah,flash sale juga. Baru 4detik sja udah habis,bgitu buat pesanan ""maaf voucher tidak bisa di gunakan"". Jelas PENIPUAN. Jaminan keterlambatan tidak berguna,jika pesanan sudah sampai di kota kita, waktu estimasinya di perpanjang,CURANG. Jaminan voucher 10k yg dibatasi 2hari harus belanja 50k. Jika minat memberi jaminan tanpa batas dan syarat. Mari bagikan."
Imam Ramdhona,1,2025-03-08 10:21:39,"Shopee tolong kalau belum mampu untuk menyalani top up e-money jangan di adakan layanan nya. awalnya bisa cek saldo begitu top up e-money lewat aplikasi shopee, jangan kan buat update saldo langsung cek saldo pun ga bisa sementara saldo di shoope pay sudah terpotong. Begitu minta dana kembali proses nya berhari hari !! Bikin orang susah !!"
fatyaaa 21,2,2025-03-08 07:16:09,"akhir akhir ini setiap mau lakuin payment pake shopeepay pasti selalu loading bener bener lama, aneh banget. 20 menit lebih stuck gabisa bayar loading terus padahal udah bersihin cache juga wifi kenceng tapi loading aja terus gabisa bayar produk. Shopeepaynya juga ada padahal"
Unyu Jabrik,4,2025-03-08 06:19:52,Aplikasi yg sangat berat untuk dibuka apalagi pada jam padat pengguna. . Perbaiki ya min. Sekarang shopee lebih baik. Hanya pengiriman lama dan estimasinya maju terus . Padahal jargonnya garansi tepat waktu
Evilica Ranee,5,2025-03-08 04:55:48,"Aplikasi blanja online yg selalu ku pake. Mudah penggunaannya dan cara pembayarannya pun juga banyak pilihan 👍🏻 Satu kendalanya, terkait status pengiriman yg kadang tdk sesuai. Bilang masih di jakarta 2 hari tau-tau dah sampe rumah (barang COD) jadi gak ada orang buat terima paket."
Zaenal Abidin,5,2025-03-08 02:33:33,"(Saran dari saya ya min) disaat paket sudah ditangan kurir, alangkah baiknya kita para pembeli itu dikasih tau nomor wa kurir yg bisa dihubungi, jadi saat ketika ada problem contoh seperti kita tidak dirumah atau kita terburu buru akan dngn paketnya. Itu kita jadi lebih mudah untuk mengetahui keberadaan paket kita min, terimakasih 🙏"
mbah ver,2,2025-03-08 01:46:33,"Aplikasi shoppe sekarang banyak bug nya, masa setiap baru buka aplikasinya langsung muncul vidio yang tidak bisa dihentikan. ,iklan ya iklan tapi tambah bikin aplikasinya amburadul tidak seperti biasanya, mohon dibenahi,"
Lies Murtiana,5,2025-03-08 01:41:02,"Dari semua aplikasi online shop shopee is the best one,aplikasinya mudah tidak ribet kalo ada masalah bisa complen dengan mudah, anti ribet dan gak pake lama.mudah mudahan shopee bisa mempertahankan kualitas pelayanannya kalo bisa ditingkatkan lagj supaya customer merasa aman dan nyaman belanja dsini."
Nuraini Syafitri,4,2025-03-07 21:59:45,"Aplikasi ini sudah beda tidak seperti dulu,banyak nya perubahan,agak bermasalah di pengiriman SPX nya terlalu lama!!!dan sekarang toko luar negeri pun diblokir,padahal toko luar negeri harga murah barang berkualitas,beda dengan local kadang yg di official storenya pun masih bisa bermain curang!!!"
Aco Harun,1,2025-03-07 16:53:52,"Kecewa, semuanya eror masuk ke akun shopee malah muncul halaman tidak tersedia saya tekan tombol kembali malah keluar sendiri. Buka keranjang, dan pesanan yang dikirim tidak bisa terbuka malah muncul tulisan coba lagi, dicoba sampai lelah tapi tetap tidak bisa.. mau ganti akun baru tapi masih ada pesanan saya. Pokoknya kecewa banget😥"
Novita Sari,1,2025-03-07 16:36:41,"sebel, pembayaran beli pulsa belanja dishopee gapernah bermasalah. baru kali ini beli pulsa gagal terus karna shopee nya error mana gada bukti riwayat pembelia , padahal ada nomer pesanan ada data semuanya udh diss masih aja gamau ngecek disistem nya bermasalah atau gak. bukan masalah nominal yg cuma 50rb ya tapi pengguna shopee lama seperti saya ini jadi bikin males belanja dishopee lagi . ini sangat mengecewakan !!!!!!!! bertele tele cs nya padahal udh nyoba buat telfon langsung tetep aja gbsa"
Bayu Laksana,1,2025-03-07 15:31:11,"Tolong Shopee aplikasi dikembalikan spt semula. Bukan setiap masuk langsung LIVE VIDEO, sangat mengganggu kdg juga tdk jelas sellernya blm lagi sdh di close masih ada suaranya. Ini platform jual beli bukan platform spt tiktok, youtube short yg memang untuk hiburan..."
Sabilal Fahri Al Shirazy,1,2025-03-07 13:54:13,"Aneh banget pesanan belum diterima tapi status pengirimannya ""Pengiriman ditunda: Pesanan ditolak pembeli. dan akan dikembalikan ke pengirim"" Tolonglah gw pesan itu karena perlu ini malah dipermainkan, saya sangat ingin dapat penjelasan tentang masalah ini, saya sudah mengalaminya 2x jadi tolong jelaskan. Padahal dulu ga pernah kek gini."
DAVIT SENDI WARDANU,2,2025-03-07 08:04:14,"Tolong untuk pihak shopee dievaluasi lagi dengan adanya fitur pesanan diterima, banyak sekali yang tidak sengaja terklik pesanan diterima. seharusnya ada konfirmasi kedua untuk meyakinkan barang sudah diterima apa belum, Apakah barang sudah diterima? Klik konfirmasi kalau sudah kalau belum klik batal ada dua step jadi aman bila tidak sengaja terpencet sudah banyak kasus saya juga mengalami, paket jadi lama sampai."
Adifa Rumaiza bakri,5,2025-03-07 04:43:39,Aplikasi Shopee ini sangat bagus sering juga belanja di Shopee. Cuman pas saya ingin menengok posisi paket saya di mana ( melacak) Shopee nya itu tetap aja masih diposisi awal kyk eror gitu.
Icha Lilis,5,2025-03-07 04:36:56,"Pelayanan sudah bagus tapi kok kurir sekarang gak pake telpon/chat sebelum antar barang,, syykur kalau kita ada di rumh. Terus kalau kitaa terlambat seharian katanya udh di return. Sedikit kecewa sih tapi karena butuh yaa mau gimna lagi. Mohon ditingkatkan lagi evaluasi buat para kurir Masalah baru kok gak bisa kebuka apk ny padahal memori sama jaringan aman sjh... huhhh kesal sy😡"
Iwan Almanto,2,2025-03-07 03:39:38,Saya sebagai Driver Online sering terjadi alamat tidak sesuai Dengan titik Antar. Perbedaan jarak Hingga 2 - 5 KM dari titik antar... Tolong sinkronisasi kan sesuai Google Maps
April Nur,1,2025-03-06 21:33:35,"Tidak usah menyediakan banyak voucher, kalau nanti pesanan dibatalkan, ya kan namanya orang dirumah punya beberapa hp, kirim di satu alamat yang sama, mana tertulis aktifitas mencurigakan, gak jelas banget. Ya kalau gak mau dibeli, gak usah menyediakan voucher banyak banyak. Semakin lama semakin lucu shopee. Mana kalau chat cs jawabannya bisa ketebak, gitu gitu aja, gak menyelesaikan masalah hahahahaha. Lucu 😂😂😂"
NurAini Jhk,1,2025-03-06 21:18:53,"Sebenarnya so far belanja di shopee tuh menyenangkan, cuman kok makin kesini makin ngaret ya bagian logistik nyaaa,,,status pengiriman juga gak ada kemajuan, terus datengnya pasti lebih dari tanggal estimasi ,,, diperbaiki lagi dong, terutama yang bagian bawa barang ke daerah tujuan. Udah lemot, gak ngupdate status pengiriman, pas komplain suruh ajukan pengembalian barang. Emang ANEH nih😤"
Ryanto MGJogjakarta,5,2025-03-06 13:16:15,"knapa koq setelah di perbaharui,terus masuk,cuma muter2 kayak gasingan..,pdahal signal aman..,setelah di perbaharui bukannya bagus,malah muter2 gak ada gambar nya..,segera benahi,apk baru ini masih banyak bug.. Sekalian nomer kurir harus di cantumkan, agar kita bisa memberi tahu kurir, saat pengantaran, saat kita tidak di rumah.."
NENG RANI NR,5,2025-03-06 05:32:48,"Utk saat ini aplikasi shopee, aplikasi belanja paling bagus. Barang yg di cari kumplit. Hrg nya lumayan murah plus gratis ongkir n bsa pilih2 expedisi pengiriman paket. Cuma skrg2 tiap buka aplikasi langsung muncul video, klw bsa di hilangkan sebab customer merasa terganggu. Sebab seolah2 di paksa hrs nonton video dulu...🙏🙏"
kang udin,2,2025-03-05 05:12:48,"ini kedua kalinya saya update yang kemarin saya update karena buka aplikasi langsung muncul video live karena terasa kurang nyaman,terus saya update lagi tadi kirain sudah berubah tidak langsung live video ternyata masih tetap(kecewa) terus ditambah buka aplikasi habis saya update tadi tambah berat mau ngecek pengiriman lama banget bukanya berputar-putar padahal kecepatan wifiku diatas rata-rata parah ini tambh berat untuk buka.."
MalikaAzzF,1,2025-03-05 01:58:23,"Sangat mengganggu, iklan dimana-mana. Bahkan kadang suka ada tombol X palsu yang kalau ditekan langsung mengarah ke aplikasi shopee. Buka web dikit ada shopee, buka game ada shopee intinya iklan shopee sangat menganggu"
Rosyta,1,2025-03-04 16:39:33,"Sy pengguna lama.baru"" ini kecewa.sepertinya harus di perbaiki systemny.. pembelian selalu di tolak dana di kembalikan krn indikasi transaksi tdk wajar.. yang tdk wajar itu marketplace tp tdk bs di pakai untuk belanja.. bisa di cek dr seluruh riwayat transaksi pengguna kan tdk wajarnya dimana.."
Alfian Eka putra,1,2025-03-04 11:05:15,"Masalah transfer dan lihat saldo, sering banget error walaupun nanti bakal betul sendiri tetap saja jika membutuhkan saldo ini terasa lama dan menjengkelkan!, selalu muncul tulisan kesalahan jaringan, kaga ngerti saya ada masalah apa sama jaringan saya yang segini bagusnya!"
Yulia Ayu Maulita,2,2025-03-04 09:07:08,"Saran untuk pihak shopee, ketika kita masuk ke applikasi jangan langsung dimasukkan ke shopee video, suaranya lgsg keluar dan mengganggu. Jadi pada tahu klo kita lagi buka shopee. Pas buka applikasi tolong masukkan ke layar utama tanpa video."
Vania Natasya,2,2025-03-04 03:17:10,Saya sangat sangat kecewa sama aplikasi Shopee padahal dulu saya suka banget tapi sekarang saya sangat kecewa karena saya beli produk di Shopee kurir Spx super duper terlambat bahkan pengiriman melebihi batas waktu yang tertera sampe sekarang paket saya nggak nyampe nyampe padahal biasanya nggak kaya gitu tolong di perbaikilah agar jasa kirim kirim paket itu sesuai waktu yang tertera jangan kaya gini
Abdul Hamed,1,2025-03-03 18:21:40,"1. ""Saya sangat kecewa dengan sistem Shopee yang selalu mengancel order saya. Saya sudah beberapa kali mencoba order, tapi selalu gagal."" 2. ""Aplikasi Shopee sangat tidak stabil. Saya tidak bisa melakukan order dengan lancar karena sistem selalu mengancel transaksi saya."" 3. ""Saya merasa kesal dengan Shopee karena order saya selalu dikancel tanpa alasan yang jelas. Saya ingin tahu apa yang salah dengan sistem Shopee."""
